name,address,telephone
DR. BUBNOVSKY MEDICAL CENTER,"Uzbekistan, 100115, Tashkent, Chilanzar district, street GAGARIN, 41",+998 71 2776082
DR. BUBNOVSKY MEDICAL CENTER BRANCH,"Uzbekistan, 100115, Tashkent, Yunusabad district, street ANORZOR, 42 B",+998 71 2247884
EAGLE EYE CLINIC LLC,"Uzbekistan, 100052, Tashkent, Mirzo-ulugbek district, street OKKURGON, 35",+998 90 9978122
ERA MED PRIVATE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, street MAKHTUMKULI, 105",+998 78 1486222
EVOMED PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, street AKHMAD DONISH, 47 A",+998 95 1773200
FAMILY DOCTOR PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, street AKHMAD DONISH, 27-2",+998 71 2051412
FUEHAIR.UZ INDIVIDUAL BUSINESSMAN,"Uzbekistan, Tashkent, Shaykhantakhur district, street ZULFIYA KHANUM, 18",+998 93 5500707
GARMONIYA ZDOROVYA NARCOLOGICAL CLINIC,"Uzbekistan, 100115, Tashkent, Chilanzar district, travel 4-th NURKHON, 12",+998 98 3385979
GEMOTEST PRIVATE CLINIC,"Uzbekistan, Tashkent, Yakkasaray district, street MUKIMI, 4",+998 71 2538335
Genomed,"Uzbekistan, 100000, Tashkent, Yunusabad district, street AKHMAD DONISH, 26Б",+998 71 2030210
GENOTEXNOLOGIYA МИРЗО-УЛУГБЕК,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, street DURMON YULI, street MUMINOV, 12",+998 99 1781400
GLOBAL MEDICAL CENTER,"Uzbekistan, Tashkent, Sergeli district, street YANGI SERGELI YULI, 35",+998 71 2005550
GLORY MEDICAL SERVICE MEDICAL CENTER,"Uzbekistan, Tashkent, Mirzo-ulugbek district, massif FERUZA, 32 А",+998 71 2317667
GOOD DOCTOR SERVICE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, street CHULPAN, 19",+998 95 1983939
G'ULOMJON NEVROLOGIYA KARDIOLOGIYA VA TERAPIYA MARKAZI LLC,"Uzbekistan, Tashkent, Yashnabad district, street ALIMKENT, 20",+998 91 1663600
GULOMJON NEYRO SERVIS LLC,"Uzbekistan, Tashkent, Yashnabad district, street ALIMKENT, 20",+998 91 1663600
Haemalab,"Uzbekistan, 100000, Tashkent, Yunusabad district, street AMIR TEMUR, 99",+998 71 2038787
HAKIM SINO GEPATOLOGIYA MARKAZI,"Uzbekistan, 100000, Tashkent, Yunusabad district, street SHAKHRIOBOD, 21А",+998 95 4764040
HASMED MEDICAL CENTER,"Uzbekistan, 100000, Tashkent, Yangikhayot district, massif SPUTNIK-6, street DAVLATOBOD,",+998 97 7711030
HEALTH LINE CENTER FOR ORTHOPEDICS AND PODOLOGY,"Uzbekistan, Tashkent, Mirzo-ulugbek district, street PARKENT, 235",+998 71 2034477
HILOL-MED SERVICES PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Chilanzar district, street KATTA KA'NI, 13/1",+998 99 5570303
HONGKONG HOSPITAL MEDICAL CENTER,"Uzbekistan, 100190, Tashkent, Yunusabad district, massif YUNUSABAD-7, street YUKORI KORAKAMISH, 2 B",+998 99 6946888
IBATOV'S CLINIC PRIVATE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, travel 1-st KAMASHI, 5",+998 95 5140070
IDEAL MED SERVIS LLC,"Uzbekistan, 100085, Tashkent, Sergeli district, massif SERGELI-8A, 17, office 55",+998 71 2513245
IFTIHOR MED SERVIS PRIVATE CLINIC,"Uzbekistan, 100180, Tashkent, Yunusabad district, massif YUNUSABAD-15, street DEKHKANABAD, 5 D",+998 71 2208822
INTERMED INNOVATION SERVIS MEDICAL CENTER,"Uzbekistan, 100099, Tashkent, Yunusabad district, street CHINABAD, 10 A",+998 1156 retur
IPSUM PATHOLOGY PRIVATE CLINIC,"Uzbekistan, 100054, Tashkent, Chilanzar district, street BOGISTON, 1",+998 95 1999300
ISTANBUL EKU MARKAZI PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Chilanzar district, street MUKIMI, 98 А",+998 99 6072224
IX MED PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, street RAVNAK, 41",+998 71 2680880
JACKSOFT MDS PRIVATE CLINIC,"Uzbekistan, Tashkent, Uchtepa district, street FOZILTEPA, 21",+998 71 2756633
JASORAT BIZNES PRIVATE CLINIC,"Uzbekistan, Tashkent, Sergeli district, massif SERGELI-3, 3, office 2",+998 71 2579131
JASSUR TIBBIYOT PRIVATE CLINIC,"Uzbekistan, 100085, Tashkent, Sergeli district, massif SERGELI-8A, 12/74",+998 71 2515459
JONIER RUSTAMOV'S CLINIC,"Uzbekistan, 100097, Tashkent, Chilanzar district, massif CHILANZAR-9, 19 А",+998 71 2785032
JUNGOMED PRIVATE CLINIC,"Uzbekistan, 100114, Tashkent, Yunusabad district, street YANGI YUNUSOBOD, 29 А",+998 97 1303718
KARDIOSERVIS PRIVATE CLINIC,"Uzbekistan, 100008, Tashkent, Chilanzar district, street KICHIK KHALKA YULI, 51",+998 71 2812387
KARIMA PRIVATE CLINIC,"Uzbekistan, 100109, Tashkent, Almazar district, street FAROBI, 418",+998 71 2461738
KASMED PRIVATE ENTERPRISE,"Uzbekistan, 100096, Tashkent, Chilanzar district, massif CHILANZAR-5, MUKIMI street, 1 A",+998 71 2883434
KRIO MED INNOVATION CLINIC,"Uzbekistan, 100138, Tashkent, Uchtepa district, street FOZILTEPA, 23 А",+998 93 5405200
LA SANTE PRIVATE CLINIC,"Uzbekistan, Tashkent, Yakkasaray district, street KICHIK BESH-YOGOCH, 3 A",+998 95 1431002
LOR 24/7 MEDICAL CENTER,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-8, street RIKHSILI, 39",+998 95 5152407
LOR DOCTOR KARABAYEV,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-18, 48",+998 71 2200099
LOR MED PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-8, 45",+998 71 2255703
LOR MED SERVIS LLC,"Uzbekistan, 100000, Tashkent, Mirabad district, massif KUYLYUK-5,",+998 94 4047117
LOR PLYUS SERVIS MEDICAL CENTER,"Uzbekistan, 100017, Tashkent, Yunusabad district, massif MINOR, 84/28",+998 71 2353804
LOR PLYUS SERVIS MEDICAL CENTER BRANCH,"Uzbekistan, Tashkent, Mirabad district, travel 6-th MIRONSHOKH, 18 B",+998 71 2550150
LOR-SERVIS PRIVATE CLINIC,"Uzbekistan, 100043, Tashkent, Chilanzar district, massif CHILANZAR-5, street BUNYODKOR, 13",+998 71 2736050
MDS-SERVICE LLC,"Uzbekistan, 100007, Tashkent, Yashnabad district, street BOTKIN, 110, corpus 3",+998 78 1400080
MED SERVICE CLASS PRIVATE CLINIC,"Uzbekistan, Tashkent, Chilanzar district, massif CHILANZAR-20A, 3/1",+998 98 1438800
MED TASHMI DIAGNOSTIKA MARKAZI LLC,"Uzbekistan, 100109, Tashkent, Almazar district, street SHIFOKORLAR, 22",+998 71 2007272
MEDIK-AS MEDICAL CENTER ALMAZAR BRANCH,"Uzbekistan, 100000, Tashkent, Almazar district, street SHIFOKORLAR, 79",+998 95 1457999
MEDIK-AS MEDICAL CENTER MIRZO-ULUGBEK BRANCH,"Uzbekistan, 100125, Tashkent, Mirzo-ulugbek district, street MIRZO ULUGBEK, street SHAKHRIOBOD,",+998 71 2690734
MEDIK-AS MEDICAL CENTER SHAYKHANTAKHUR BRANCH,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street ANKHOR BUYI, 18 А",+998 71 2447444
MEDIK-AS MEDICAL CENTER YAKKASARAY BRANCH,"Uzbekistan, 100100, Tashkent, Yakkasaray district, street SHOTA RUSTAVELI, 124 B",+998 71 2500999
MEDILUX MEDICAL CENTER,"Uzbekistan, 100109, Tashkent, Almazar district, street FAROBI, 3 B",+998 78 1501818
MEDIMAX PRIVATE ENTERPRISE,"Uzbekistan, 100201, Tashkent, Mirzo-ulugbek district, massif AKHMAD YUGNAKI, street PROEKTNAYA G-90,",+998 71 2641300
MEDIVIZIO GBA PRIVATE CLINIC,"Uzbekistan, 100084, Tashkent, Yunusabad district, avenue AMIR TEMUR, 107 B, office 1 А",+998 71 2389953
MED-LINE SERVIS CLINIC,"Uzbekistan, 100000, Tashkent, Chilanzar district, street KATARTAL,",+998 95 1433061
MED-MADAD REABILITOLOGIYA MARKAZI,"Uzbekistan, 100123, Tashkent, Uchtepa district, massif CHILANZAR-11, 50-51",+998 93 0380003
MIRAMED-ORTOS PRIVATE CLINIC,"Uzbekistan, 100020, Tashkent, Almazar district, street BERUNI, V-1, 1/20",+998 71 2490313
MUAZZAM NUR SHIFO PRIVATE CLINIC,"Uzbekistan, Tashkent, Sergeli district, massif SERGELI-8A, 25, office 56",+998 71 2511727
MUBINA MEDICAL PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Sergeli district, massif SERGELI-2, 17/47",+998 71 2582771
MUQARNAS CLINIC PRIVATE CLINIC,"Uzbekistan, 100084, Tashkent, Yunusabad district, street OSIYO, 21 A",+998 71 2021155
MY DIAGNOSTICS CENTRE PRIVATE CLINIC,"Uzbekistan, Tashkent, Mirzo-ulugbek district, massif AKHMAD YUGNAKI, 41 A",+998 71 2006777
NANO MEDICAL CLINIC PRIVATE CLINIC,"Uzbekistan, 100095, Tashkent, Almazar district, street CHIMBAY, 2 А",+998 55 5000550
NEO LAB DIAGNOSTICS LABORATORY,"Uzbekistan, Tashkent, Shaykhantakhur district, street KICHIK KHALKA YULI, 6/1",+998 71 2496699
NEVROMASTER PRIVATE CLINIC,"Uzbekistan, 100102, Tashkent, Sergeli district, massif YULDOSH-4, 42",+998 71 2570564
NEW LIFE MEDICAL PRIVATE CLINIC,"Uzbekistan, Tashkent, Almazar district, street FAROBI, 28",+998 71 2000078
NEW MEDICAL SERVICE TASHKENT MEDICAL CENTRE,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-19,",+998 55 5032530
OFTOB MEDLINE PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Almazar district, street SEBZAR, 1 А",+998 71 2402223
OMEGA MED LLC,"Uzbekistan, Tashkent, Mirzo-ulugbek district, street MUMINOV, 11",+998 71 2627800
OPTIMED OPHTHALMOLOGIC CLINIC,"Uzbekistan, 100095, Tashkent, Almazar district, street ZIYO, 7",+998 95 1996060
ORTOSTAN.RU PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-4, 34",+998 71 2240040
ORZUMED YUNUSOBOD PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-8, street FAROGAT, 10 Б",+998 71 2210016
OTOLARINGOLOG PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Yunusabad district, street OSIYO, 12",+998 71 2343650
OZODA SHIFO MED SERVIS MEDICAL CENTRE,"Uzbekistan, Tashkent, Sergeli district, massif SERGELI-8, street SHOKIRARIK, 99",+998 1143 retur
PARENTS HOLIDAY PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Almazar district, street YANGI ALMAZAR, 51",+998 71 2281042
PHLEBOLIFE CLINIC MODERN PHLEBOLOGY TASHKENT BRANCH,"Uzbekistan, Tashkent, Yunusabad district, street CHINGIZ AYTMATOV, 38",+998 71 2356100
PLANBABY CLINIC PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-6, street MOYKURGAN, 80",+998 71 2000393
PRESTIGE HEALTH GROUP PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, street CHINABAD, 88",+998 95 5120101
PRIMA DENT PRIVATE CLINIC,"Uzbekistan, Tashkent, street BAYKARO, 29 G",+998 71 2957222
PROSPECT PRIVATE CLINIC,"Uzbekistan, 100169, Tashkent, Almazar district, street FAROBI, 14 А",+998 71 2461278
Pulse Medical Center,"Uzbekistan, Tashkent, Yashnabad district, street CHINOR,",+998 90 9976317
QAHHOR MUSHTARY BONU PRIVATE CLINIC,"Uzbekistan, 100102, Tashkent, Sergeli district, massif SPUTNIK-5, 3/1",+998 71 2582413
